10,5
20,5
30,3
40,6
50,5
60,4
70,3
80,4
90,3
100,2
110,5
120,5
130,6
140,5
150,6
160,5
170,4
180,3
190,3
200,3
210,3
220,3
230,3
240,3
250,2
260,3
270,3
280,4
290,4
300,6
310,4
320,5
330,7
340,5
350,4
360,7
370,6
380,3
390,4
400,3
410,2
420,4
430,4
440,4
450,5
460,4
470,4
480,5
490,5
500,3
510,3
520,3
530,3
540,2
550,2
560,2
570,2
580,2
590,2
600,2
610,2
620,2
630,2
640,2
650,4
660,4
670,3
680,3
690,4
700,4
710,4
720,4
730,3
740,3
750,4
760,5
770,3
780,3
790,4
800,4
810,3
820,2
830,2
840,1
850,1
860,1
870,2
880,2
890,3
900,3
910,1
920,2
930,2
940,2
950,2
960,2
970,2
980,1
990,1
1000,1
1010,1
1020,2
1030,2
1040,2
1050,2
1060,4
1070,6
1080,8
1090,8
1100,6
1110,9
1120,5
1130,4
1140,3
1150,2
1160,3
1170,2
1180,2
1190,4
1200,3
1210,5
1220,4
1230,4
1240,3
1250,3
1260,2
1270,2
1280,2
1290,3
1300,3
1310,2
1320,3
1330,4
1340,3
1350,4
1360,4
1370,3
1380,4
1390,3
1400,2
1410,2
1420,2
1430,2
1440,2
1450,2
1460,2
1470,3
1480,5
1490,7
1500,8
1510,9
1520,8
1530,7
1540,6
1550,6
1560,4
1570,3
1580,3
1590,3
1600,3
1610,3
1620,2
1630,3
1640,3
1650,3
1660,4
1670,4
1680,4
1690,6
1700,5
1710,5
1720,5
1730,3
1740,4
1750,6
1760,3
1770,4
1780,4
1790,6
1800,6
